date,item,origin,price,qty
2024-01-05,きゅうり,千葉,396,110735
2024-01-05,きゅうり,宮崎,567,340271
2024-01-05,きゅうり,総計,499,644376
2024-01-05,きゅうり,高知,403,106261
2024-01-06,きゅうり,千葉,391,21705
2024-01-06,きゅうり,宮崎,496,50895
2024-01-06,きゅうり,総計,442,114651
2024-01-06,きゅうり,高知,408,23140
2024-01-08,きゅうり,千葉,403,22455
2024-01-08,きゅうり,宮崎,421,160291
2024-01-08,きゅうり,総計,415,243317
2024-01-08,きゅうり,高知,406,23233
2024-01-09,きゅうり,千葉,423,18259
2024-01-09,きゅうり,宮崎,421,101451
2024-01-09,きゅうり,総計,417,153515
2024-01-09,きゅうり,高知,402,15675
2024-01-11,きゅうり,千葉,416,30226
2024-01-11,きゅうり,宮崎,426,126520
2024-01-11,きゅうり,総計,421,219276
2024-01-11,きゅうり,高知,415,26168
2024-01-12,きゅうり,千葉,430,16640
2024-01-12,きゅうり,宮崎,433,88565
2024-01-12,きゅうり,総計,431,140691
2024-01-12,きゅうり,高知,425,15763
2024-01-13,きゅうり,千葉,438,18735
2024-01-13,きゅうり,宮崎,449,90266
2024-01-13,きゅうり,総計,441,149994
2024-01-13,きゅうり,高知,434,17360
2024-01-15,きゅうり,千葉,450,32614
2024-01-15,きゅうり,宮崎,471,126395
2024-01-15,きゅうり,総計,462,220763
2024-01-15,きゅうり,高知,442,24208
2024-01-16,きゅうり,千葉,456,18881
2024-01-16,きゅうり,宮崎,482,89264
2024-01-16,きゅうり,総計,471,146122
2024-01-16,きゅうり,高知,460,17382
2024-01-18,きゅうり,千葉,476,39735
2024-01-18,きゅうり,宮崎,513,136608
2024-01-18,きゅうり,総計,495,242793
2024-01-18,きゅうり,高知,460,28480
2024-01-19,きゅうり,千葉,481,19929
2024-01-19,きゅうり,宮崎,514,73784
2024-01-19,きゅうり,総計,499,131958
2024-01-19,きゅうり,高知,472,17691
2024-01-20,きゅうり,千葉,484,21626
2024-01-20,きゅうり,宮崎,520,78512
2024-01-20,きゅうり,総計,500,149654
2024-01-20,きゅうり,群馬,445,10335
2024-01-20,きゅうり,高知,464,16273
2024-01-22,きゅうり,千葉,479,36856
2024-01-22,きゅうり,宮崎,542,119626
2024-01-22,きゅうり,総計,519,225841
2024-01-22,きゅうり,高知,499,28991
2024-01-23,きゅうり,千葉,487,18273
2024-01-23,きゅうり,宮崎,530,73277
2024-01-23,きゅうり,総計,518,128856
2024-01-23,きゅうり,高知,499,18368
2024-01-25,きゅうり,千葉,484,29603
2024-01-25,きゅうり,宮崎,544,100763
2024-01-25,きゅうり,総計,521,195405
2024-01-25,きゅうり,群馬,512,12640
2024-01-25,きゅうり,高知,499,22478
2024-01-26,きゅうり,千葉,483,17684
2024-01-26,きゅうり,宮崎,541,62674
2024-01-26,きゅうり,総計,520,115465
2024-01-26,きゅうり,高知,493,13502
2024-01-27,きゅうり,千葉,487,19419
2024-01-27,きゅうり,宮崎,546,70565
2024-01-27,きゅうり,総計,520,135950
2024-01-27,きゅうり,群馬,509,12350
2024-01-27,きゅうり,高知,491,15172
2024-01-29,きゅうり,千葉,472,33125
2024-01-29,きゅうり,宮崎,542,97658
2024-01-29,きゅうり,総計,511,202205
2024-01-29,きゅうり,群馬,485,19222
2024-01-29,きゅうり,高知,486,25093
2024-01-30,きゅうり,千葉,474,18945
2024-01-30,きゅうり,宮崎,511,71722
2024-01-30,きゅうり,総計,503,141207
2024-01-30,きゅうり,群馬,510,15070
2024-01-30,きゅうり,高知,490,16094
2024-02-01,きゅうり,千葉,473,32271
2024-02-01,きゅうり,宮崎,533,106414
2024-02-01,きゅうり,総計,509,214197
2024-02-01,きゅうり,群馬,498,22866
2024-02-01,きゅうり,高知,494,22109
2024-02-02,きゅうり,千葉,472,21439
2024-02-02,きゅうり,宮崎,532,62151
2024-02-02,きゅうり,総計,509,127350
2024-02-02,きゅうり,群馬,482,17582
